date,rainfall,gwl,api
01/06/2022,3,8.56,113.86
02/06/2022,19,8.62,131.12
03/06/2022,5,8.49,134.02
04/06/2022,1,8.57,132.82
05/06/2022,37,8.23,168.01
06/06/2022,60,8.15,225.81
07/06/2022,61,6.81,284.42
08/06/2022,5,7.5,285.73
09/06/2022,6,8.42,288.0
10/06/2022,3,8.29,287.17
11/06/2022,10,8.42,293.38
12/06/2022,7,8.4,296.44
13/06/2022,4,8.47,296.4
14/06/2022,22,8.4,314.51
15/06/2022,39,7.91,349.57
16/06/2022,19,7.93,363.97
17/06/2022,21,7.98,380.18
18/06/2022,0,7.98,374.92
19/06/2022,0,7.98,369.5
20/06/2022,0,7.99,364.41
21/06/2022,0,7.99,359.32
22/06/2022,0,7.99,354.23
23/06/2022,0,7.99,348.83
24/06/2022,0,7.99,344.06
25/06/2022,0,7.99,339.28
26/06/2022,0,8.0,334.5
27/06/2022,0,8.0,329.72
28/06/2022,0,8.0,324.94
29/06/2022,0,8.0,320.17
30/06/2022,0,8.0,315.39
01/07/2022,0,8.0,310.61
02/07/2022,0,8.01,305.83
03/07/2022,0,8.01,301.06
04/07/2022,0,8.01,296.28
05/07/2022,59,8.01,351.16
06/07/2022,0,8.01,345.72
07/07/2022,35,8.02,375.68
08/07/2022,55,8.02,425.47
09/07/2022,38,8.02,457.46
10/07/2022,12,8.02,462.73
11/07/2022,35,8.02,491.13
12/07/2022,0,8.02,483.76
13/07/2022,22,8.03,498.62
14/07/2022,31,8.03,522.34
15/07/2022,18,8.03,532.58
16/07/2022,21,8.18,545.64
17/07/2022,26,8.42,563.53
18/07/2022,26,8.08,581.13
19/07/2022,11,7.9,583.28
20/07/2022,0,7.94,574.18
21/07/2022,0,8.3,565.08
22/07/2022,0,8.4,555.98
23/07/2022,4,8.43,550.92
24/07/2022,16,8.52,557.96
25/07/2022,0,8.49,548.63
26/07/2022,0,8.53,539.31
27/07/2022,0,8.57,529.99
28/07/2022,16,8.54,536.84
29/07/2022,0,8.56,527.34
30/07/2022,0,8.59,517.84
31/07/2022,3,8.55,511.38
01/08/2022,41,8.37,543.3
02/08/2022,199,4.57,734.52
03/08/2022,46,5.83,768.82
04/08/2022,37,6.89,793.53
05/08/2022,41,6.79,821.88
06/08/2022,4,7.83,812.36
07/08/2022,5,7.86,803.8
08/08/2022,5,8.14,795.19
09/08/2022,0,8.6,781.47
10/08/2022,0,8.62,767.74
11/08/2022,0,8.63,754.02
12/08/2022,0,8.65,740.3
